pair,condition,file,Disp_um_RMS_um,Disp_um_Std_um,Disp_um_Kurt,Disp_um_Skew,Disp_um_P2P_um,Disp_um_PSD_HB,Disp_um_PSD_resp,Disp_um_PSD_hr,Disp_um_SpEnt,Disp_um_BW20dB_1f0,Disp_um_BW20dB_2f0,Disp_um_BW20dB_3f0,Disp_um_BW20dB_4f0,Magnitude_RMS_V,Magnitude_Std_V,Magnitude_Kurt,Magnitude_Skew,Magnitude_P2P_V,Magnitude_PSD_HB,Magnitude_PSD_resp,Magnitude_PSD_hr,Magnitude_SpEnt,Magnitude_BW20dB_1f0,Magnitude_BW20dB_2f0,Magnitude_BW20dB_3f0,Magnitude_BW20dB_4f0,Phase_rad_RMS,Phase_Kurt,Phase_PSD_0.1_3Hz,Phase_BW20dB_1f0,Phase_BW20dB_2f0,Phase_BW20dB_3f0,Phase_BW20dB_4f0,Magnitude_RMS,Magnitude_PSD_0.1_3Hz
Pair 1,Table,ultra_rftable1,296641.83328330575,296641.83328330575,1.7191871357651345,-0.3236716752417411,876762.4652842643,3743571669.44456,0.0,3743571669.44456,1.0173605133690469,32.0,29.0,39.0,39.0,0.14889335885544105,0.00866350797806476,2.326856478089183,-0.10352500153877976,0.025398542733153867,3.5630780424938145e-08,0.0,3.5630780424938145e-08,1.2836760391910023,38.0,39.0,39.0,35.0,11.190875572609867,1.719187135765134,5.32781937718661,32.0,29.0,39.0,39.0,0.14889335885544105,3.5630780424938145e-08
Pair 1,Body,ultra_rfbody1,17724347.41800016,17724347.418000165,3.725596675504091,-0.423104062014576,65457028.89647327,23695154039413.168,0.0,23695154039413.168,0.49450043556144335,39.0,39.0,39.0,39.0,0.00019004265137356549,6.40889558261637e-05,2.683507361425149,-0.044984493321796215,0.0002094278692371941,1.6131100220485677e-10,0.0,1.6131100220485677e-10,2.6082202121443436,39.0,39.0,39.0,39.0,668.6547354604402,3.7255966755040917,33722.74180484382,39.0,39.0,39.0,39.0,0.00019004265137356549,1.6131100220485677e-10
Pair 2,Table,ultra_rftable2,10982274.06012016,10982274.06012016,1.4604136777273222,0.025653251039559698,30378137.207169093,7087130125882.646,0.0,7087130125882.646,0.7337564563987296,39.0,39.0,39.0,39.0,0.0008602227428180482,0.00026256663359164263,5.590707780489938,0.020330934764358707,0.0008529731967239218,9.045337984322394e-09,0.0,9.045337984322394e-09,3.256291094247902,39.0,39.0,39.0,21.0,414.3085995350146,1.4604136777273216,10086.343349991992,39.0,39.0,39.0,39.0,0.0008602227428180482,9.045337984322394e-09
Pair 2,Body,ultra_rfbody2,18636.985855856616,18636.985855856616,4.742692419297307,1.4259225396523951,68929.96274782976,108869840.855087,0.0,108869840.855087,1.4800177756697812,39.0,39.0,39.0,39.0,0.010019705167035684,0.000724256864865256,43.94342107103311,-5.335205210354675,0.0013657795657682353,1.8120919601346996e-07,0.0,1.8120919601346996e-07,2.494353979217282,39.0,39.0,39.0,39.0,0.7030842125432579,4.742692419297308,0.15494263204129238,39.0,39.0,39.0,39.0,0.010019705167035684,1.8120919601346996e-07
Pair 3,Table,ultra_rftable3,15026.479631799612,15026.479631799612,17.81507865874227,-3.6334966456390343,23019.87065714349,2107606.489098485,0.0,2107606.489098485,2.6008249706252315,39.0,38.0,39.0,39.0,0.02691026341351578,0.0027502312625522565,13.69567054855939,0.4195560105030721,0.007697301660807152,3.343296218907955e-07,0.0,3.343296218907955e-07,2.6500564266321347,39.0,39.0,39.0,39.0,0.56687710560778,17.815078658742266,0.002999527639274289,39.0,38.0,39.0,39.0,0.02691026341351578,3.343296218907955e-07
Pair 3,Body,ultra_rfbody3,28779104.265639752,28779104.26563976,2.0215923057563847,-0.2753663117789558,90672048.69170664,29802629398292.176,0.0,29802629398292.176,0.4028617098653305,39.0,39.0,39.0,39.0,0.0002836228609181175,0.00016789668210040194,3.6077656598464225,1.3015201736181723,0.000521511985603278,5.236939530372745e-10,0.0,5.236939530372745e-10,1.8852853690742744,39.0,39.0,39.0,38.0,1085.697763404651,2.021592305756385,42414.848818131824,39.0,39.0,39.0,39.0,0.0002836228609181175,5.236939530372745e-10
Pair 4,Table,ultra_rftable4,25482026.148815032,25482026.148815036,3.099740606685838,0.6384354703381506,88748135.90145302,18359580822378.83,0.0,18359580822378.83,0.9301296837427527,39.0,39.0,39.0,39.0,0.0014806632568817285,0.0008115383910320255,7.335750257418175,2.175469376528847,0.002803303571566218,5.8901571390470726e-08,0.0,5.8901571390470726e-08,2.079546400966187,39.0,39.0,39.0,39.0,961.3147977582584,3.099740606685838,26129.1993581645,39.0,39.0,39.0,39.0,0.0014806632568817285,5.8901571390470726e-08
Pair 4,Body,ultra_rfbody01,169072.80900659002,169072.80900659002,3.4041071846056576,-0.934499273892729,586695.9293331293,412385569.0726771,0.0,412385569.0726771,1.3469754563053784,39.0,39.0,39.0,39.0,0.24545902857164179,0.024758815565192716,12.323790923477375,1.56930683770607,0.050994556096871535,4.588442239945269e-06,0.0,4.588442239945269e-06,3.7906508939510526,39.0,39.0,39.0,39.0,6.378307291869285,3.4041071846056568,0.5869036363616691,39.0,39.0,39.0,39.0,0.24545902857164179,4.588442239945269e-06
