subject,session_name,time,feat_vel_rms,feat_vel_tkeo,feat_vel_kurtosis,feat_vel_hilbert,feat_vel_bandpower,feat_vel_stft,feat_hjorth_activity,feat_hjorth_mobility,feat_hjorth_complexity,feat_phase_rms,feat_disp_rms,feat_spec_entropy,feat_spec_centroid,feat_zcr,target
Sub_1_Prof_kan,Sub_1_Prof_kan_Session_1,0.5,1403.958950402649,1083.8776520461506,104.8874940257492,408.0983026356386,4.7008073895646225,6893.811990400959,1967696.1772179878,0.01497592287487157,1.783848335414555,0.12564802390889826,462.22104369404445,1.7947497144889692,18.357289762628795,89.0,0.0
Sub_1_Prof_kan,Sub_1_Prof_kan_Session_1,0.6,77.15025280886302,6.14166987811378,12.097016999938752,74.86596078578555,1.1401747514803506,88.18669188543282,5936.042560398291,0.022548405894889354,1.3894795496106715,0.020857725763665447,339.84460148299263,1.8320333692725839,42.70070836293598,97.0,0.0
Sub_1_Prof_kan,Sub_1_Prof_kan_Session_1,0.7,33.62911973857187,2.040057948325917,6.7844930104896495,43.099163000081035,0.8163942149941344,21.646803559713067,1130.11521774186,0.029942502959506206,1.0666949029678596,0.01684572983229761,297.5552945944363,1.3875471177450112,49.0383277234955,96.0,0.0
Sub_1_Prof_kan,Sub_1_Prof_kan_Session_1,0.8,19.33436351430217,0.7254653584673972,4.978086733073814,31.104921626069228,0.8126060864919721,7.543902086500204,373.7476828665893,0.0309609063830541,1.0304029847492358,0.01585455033952104,295.40289607114585,1.2927901884814434,49.58749245232988,95.0,0.0
Sub_1_Prof_kan,Sub_1_Prof_kan_Session_1,0.9,11.464520025594863,0.2551874826465879,4.715594100427033,24.600804098586845,0.8263242100724402,2.6895756807572955,131.42443549814251,0.03094355105121718,1.029774287934002,0.016196200039199783,291.15943661503877,1.308843727437279,49.453648818429635,92.0,0.0
Sub_1_Prof_kan,Sub_1_Prof_kan_Session_1,1.0,6.862344595770953,0.09067280027279731,4.64611417266924,20.764043034001826,0.8515914297791854,0.9734577233883756,47.08870414053577,0.03079773092136733,1.0349965884569776,0.01707645389412017,275.2267477072287,1.355032416226484,49.11784459524385,92.0,0.0
Sub_1_Prof_kan,Sub_1_Prof_kan_Session_1,1.1,4.236525241508591,0.0335786152904183,3.5094577306629793,18.240510262750266,0.9642806810377839,0.4071101123406374,17.946446650199466,0.030374303470345816,1.0448653565684551,0.018531010222387567,246.25577979461062,1.4897887570669661,47.68404391691722,92.0,0.0
Sub_1_Prof_kan,Sub_1_Prof_kan_Session_1,1.2,2.8538501592837293,0.014095508094701177,1.3841398658753112,16.40167879756661,1.2169967660776742,0.20863421035947483,8.144459608827946,0.029204781001728256,1.077140822333712,0.020480172203711032,212.7091432979587,1.686736216005782,44.792694770964935,91.0,0.0
Sub_1_Prof_kan,Sub_1_Prof_kan_Session_1,1.3,2.8369431249427293,0.013296587668326998,1.7440118213430003,15.147084281302694,1.4490671778935602,0.2099609914195317,8.044672382922183,0.028603489534729656,1.0855446940653128,0.023512503351746327,186.89246358261283,1.7174941289375332,43.563579745327246,89.0,0.0
Sub_1_Prof_kan,Sub_1_Prof_kan_Session_1,1.4,3.738934218743909,0.02200720529706022,4.510595541229465,14.410893457926502,1.4370973689124769,0.394191604147982,13.960912596185555,0.028045920203304642,1.1059939246962354,0.02783122431137993,174.61503663556914,1.6935565849773322,43.88070648825611,89.0,0.0
Sub_1_Prof_kan,Sub_1_Prof_kan_Session_1,1.5,8.153758685159593,0.06375605212323128,14.657178325501587,15.372736774885166,1.7792405287377513,1.1903192316873408,65.8983319205201,0.02163931782680755,1.4273800306456252,0.03396810283791186,182.93412019517692,1.7611907762409815,41.70509430633613,87.0,0.0
Sub_1_Prof_kan,Sub_1_Prof_kan_Session_1,1.6,32.44647310498113,0.30903395985347215,14.999891774614511,26.09036098462607,5.610726052003458,9.778871347901346,1036.4328196359793,0.010596304770341871,2.5037566130282056,0.044825260076945456,231.39990890631262,1.7103167582099241,30.248046362320895,79.0,0.0
Sub_1_Prof_kan,Sub_1_Prof_kan_Session_1,1.7,169.4977539407308,4.277259613310796,19.813841362720968,96.18620206009496,59.73998498538309,257.4637654268615,28331.133974246804,0.009057685567500154,1.5015133395286444,0.1042280867978915,285.3144137723335,1.3293209126669752,19.701313024588647,76.0,0.0
Sub_1_Prof_kan,Sub_1_Prof_kan_Session_1,1.8,595.2706226142574,126.21140630350027,20.22033692469144,316.3157439021606,35.759265555225745,10098.139964536571,354192.4421628088,0.013658391986045768,1.3101233594928021,6.026186485791757,292.92539276593527,1.3204528708831382,24.113696347908913,70.0,0.0
Sub_1_Prof_kan,Sub_1_Prof_kan_Session_1,1.9,804.4645896122704,284.8850337054054,12.136567264010347,509.9019762091181,20.6782908571776,23427.069022582917,647101.7021844607,0.014634527941775308,1.3762411994397115,12.75285816360412,331.0842523231099,1.597093812947806,22.541529199031757,66.0,0.0
Sub_1_Prof_kan,Sub_1_Prof_kan_Session_1,2.0,807.9736662781438,286.070796608925,11.890168618240939,535.4895813279072,20.408273948357788,23351.451321023993,652819.1188950548,0.014589602273372032,1.381631702891604,13.659743863883257,379.1094921916442,1.5954995517732014,22.483807901407197,60.0,0.0
Sub_1_Prof_kan,Sub_1_Prof_kan_Session_1,2.1,808.1407348784836,286.25221319641423,11.880675250542101,540.088216004556,20.478505893482787,23433.93040846305,653091.3170037587,0.014590817485340217,1.382042282621741,12.811136830153826,396.91844962487085,1.5751691265028087,22.9541092797395,56.0,0.0
Sub_1_Prof_kan,Sub_1_Prof_kan_Session_1,2.2,808.1657691612672,286.3125026929164,11.879505956022182,541.5554570610307,20.88854574951802,23799.029431319144,653131.9022533371,0.014591910952702156,1.3821423972098665,11.762745843772237,401.25138112547205,1.5349213743852281,23.756944097129146,57.0,0.0
Sub_1_Prof_kan,Sub_1_Prof_kan_Session_1,2.3,808.1682005232472,286.3174580807712,11.879602547205513,541.555725347844,21.48566903532918,24367.8803681507,653135.839969082,0.014592000310665607,1.3821487252535472,11.528529798404177,398.5166535988553,1.4837893308094683,24.57052595054746,59.0,0.0
Sub_1_Prof_kan,Sub_1_Prof_kan_Session_1,2.4,808.1661542724053,286.31197301016687,11.880039941334243,541.1228310337337,22.05802829408726,24929.460177986075,653132.5153001955,0.014591886881703079,1.3821395613976826,12.32359668275771,390.2143798614009,1.4426901580519544,25.126361182650804,59.0,0.0
Sub_1_Prof_kan,Sub_1_Prof_kan_Session_1,2.5,808.1339939649803,286.27063752445844,11.884012148383867,538.933491218637,22.42160361712912,25235.175546559996,653079.978242623,0.01459143671314032,1.382051784553952,13.41129174945921,376.6721785321468,1.4313472771659324,25.306406703264393,59.0,0.0
